ElementID,Type,Volume,Sxx,Syy,Szz,Sxy,Sxz,Syz,Exx,Eyy,Ezz,Exy,Exz,Eyz
283,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
284,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
285,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
286,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
287,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
288,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
289,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
290,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
291,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
292,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
293,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
294,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
295,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
296,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
297,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
298,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
299,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
300,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
301,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
302,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
303,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
304,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
305,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
306,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
307,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
308,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
309,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
310,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
311,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
312,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
313,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
314,C3D8,0.327084,0,0,0,0,0,0,0,0,0,0,0,0
315,C3D8,0.327088,0,0,0,0,0,0,0,0,0,0,0,0
316,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
317,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
318,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
319,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
320,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
321,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
322,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
323,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
324,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
325,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
326,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
327,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
328,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
329,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
330,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
331,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
332,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
333,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
334,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
335,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
336,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
337,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
338,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
339,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
340,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
341,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
